name,category,latitude,longitude,description,popularity,avg_rating,rating_count,image_url,visitor_count
北京地铁蒲黄榆站,交通,39.865,116.421,地铁5号线重要车站,5667,4.62,2038,/images/transport/53.jpg,134495
北京地铁天坛东门站,交通,39.883,116.407,地铁5号线重要车站,8411,4.63,6382,/images/transport/54.jpg,273806
北京地铁磁器口站,交通,39.891,116.417,地铁5号线与7号线换乘站,11014,4.79,11309,/images/transport/55.jpg,316954
北京地铁东四站,交通,39.924,116.417,地铁5号线与6号线换乘站,9818,4.38,14433,/images/transport/56.jpg,298426
北京地铁北新桥站,交通,39.941,116.417,地铁5号线重要车站,5526,4.83,7547,/images/transport/57.jpg,218649
北京地铁惠新西街南口站,交通,39.975,116.407,地铁5号线与10号线换乘站,7848,4.31,10339,/images/transport/58.jpg,400000
北京地铁大屯路东站,交通,40.008,116.417,地铁5号线与15号线换乘站,10733,4.87,9605,/images/transport/59.jpg,400000
北京地铁立水桥站,交通,40.05,116.407,地铁5号线与13号线换乘站,8622,4.95,2764,/images/transport/60.jpg,400000
北京地铁天通苑北站,交通,40.083,116.407,地铁5号线北端终点站,7637,4.3,5898,/images/transport/61.jpg,295279
北京地铁六里桥站,交通,39.882,116.307,地铁9号线与10号线换乘枢纽,9255,4.6,8181,/images/transport/62.jpg,400000
北京地铁七里庄站,交通,39.866,116.287,地铁9号线与14号线换乘站,9185,4.72,6704,/images/transport/63.jpg,294481
北京地铁丰台东大街站,交通,39.858,116.287,地铁9号线重要车站,11437,4.95,13163,/images/transport/64.jpg,400000
北京地铁丰台南路站,交通,39.841,116.287,地铁9号线重要车站,5175,4.92,5042,/images/transport/65.jpg,225063
北京地铁科怡路站,交通,39.833,116.287,地铁9号线重要车站,8341,4.69,4471,/images/transport/66.jpg,271168
北京地铁郭公庄站,交通,39.816,116.307,地铁9号线与房山线换乘站,9889,4.64,10626,/images/transport/67.jpg,400000
北京地铁八角游乐园站,交通,39.908,116.213,地铁1号线重要车站,5526,4.57,9646,/images/transport/68.jpg,161067
北京地铁古城站,交通,39.908,116.187,地铁1号线重要车站,9255,4.64,12419,/images/transport/69.jpg,359967
北京地铁苹果园站,交通,39.925,116.177,地铁1号线西端终点站,10452,4.89,12170,/images/transport/70.jpg,322117
北京地铁八宝山站,交通,39.908,116.237,地铁1号线重要车站,10240,4.33,17266,/images/transport/71.jpg,400000
北京地铁玉泉路站,交通,39.908,116.257,地铁1号线重要车站,6934,4.82,11127,/images/transport/72.jpg,219135
北京地铁五棵松站,交通,39.908,116.267,地铁1号线重要车站,9818,4.95,13199,/images/transport/73.jpg,273498
北京地铁万寿路站,交通,39.908,116.287,地铁1号线重要车站,6722,4.17,9323,/images/transport/74.jpg,315091
北京地铁公主坟站,交通,39.908,116.307,地铁1号线与10号线换乘站,9959,4.92,8366,/images/transport/75.jpg,189942
北京地铁军事博物馆站,交通,39.908,116.317,地铁1号线与9号线换乘站,9537,4.36,3590,/images/transport/76.jpg,210011
北京地铁木樨地站,交通,39.908,116.337,地铁1号线重要车站,10240,4.84,11773,/images/transport/77.jpg,301130
北京地铁南礼士路站,交通,39.908,116.347,地铁1号线重要车站,10311,4.68,18035,/images/transport/78.jpg,400000
北京地铁永安里站,交通,39.908,116.447,地铁1号线重要车站,11507,4.95,9650,/images/transport/79.jpg,393164
北京地铁国贸站,交通,39.909,116.461,地铁1号线与10号线换乘站,10522,4.94,6500,/images/transport/80.jpg,400000
北京地铁大望路站,交通,39.908,116.477,地铁1号线与14号线换乘站,6300,4.95,9718,/images/transport/81.jpg,353828
北京地铁四惠站,交通,39.908,116.497,地铁1号线与八通线换乘站,11788,4.91,12569,/images/transport/82.jpg,254018
北京地铁四惠东站,交通,39.908,116.517,地铁1号线与八通线换乘站,7426,4.95,5618,/images/transport/83.jpg,280605
北京地铁土桥站,交通,39.892,116.667,八通线东端终点站,5315,4.66,6122,/images/transport/84.jpg,345233
北京地铁临河里站,交通,39.875,116.677,八通线重要车站,5737,4.95,1931,/images/transport/85.jpg,237905
北京地铁梨园站,交通,39.867,116.667,八通线重要车站,11718,4.91,12668,/images/transport/86.jpg,400000
北京地铁九棵树站,交通,39.892,116.657,八通线重要车站,7145,4.95,2432,/images/transport/87.jpg,400000
北京地铁果园站,交通,39.892,116.637,八通线重要车站,9678,4.95,8538,/images/transport/88.jpg,277719
北京地铁通州北苑站,交通,39.9,116.627,八通线重要车站,11366,4.95,11766,/images/transport/89.jpg,400000
北京地铁八里桥站,交通,39.9,116.607,八通线重要车站,7496,4.52,9694,/images/transport/90.jpg,400000
北京地铁管庄站,交通,39.908,116.587,八通线重要车站,10452,4.94,3555,/images/transport/91.jpg,400000
北京地铁双桥站,交通,39.908,116.567,八通线重要车站,5386,4.18,9444,/images/transport/92.jpg,164332
北京地铁传媒大学站,交通,39.908,116.547,八通线重要车站,11648,4.95,8787,/images/transport/93.jpg,400000
北京地铁高碑店站,交通,39.908,116.527,八通线重要车站,11859,4.52,4855,/images/transport/94.jpg,400000
